pays,population,evo_pop_%,qt_kcal/h,qt_prot_gr/h,ratio_prot_viande_%,qt_volaille_Kg/h,PIBh_$,tot_poultry_exch_$
Armenie,2893509.0,0.56296,2928.0,90.04,17.91,13.824045475579997,3843.5912130934043,4538.0
Afghanistan,31731688.0,10.16736,2090.0,58.25,8.33,2.3320536871533593,647.966460473683,0.0
Albanie,2918978.0,-0.73276,3193.0,111.42,20.39,14.388597653014171,4413.082886884081,330235.0
Algerie,38338562.0,6.14914,3296.0,91.96,8.16,7.590269035129695,5471.123388787091,0.0
Angola,25998340.0,11.25078,2473.0,57.26,21.73,14.308605857143187,5258.407376444329,1584587.9999999998
Antigua-et-Barbuda,97824.0,3.3414,2417.0,83.71,34.73,61.33464180569185,12194.549591708159,0.0
Argentine,42539925.0,3.19241,3229.0,102.64,42.8,37.682247911814606,12976.636424541095,0.0
Australie,23150729.0,4.65941,3276.0,106.28,36.66,46.52121321967874,67990.29003047975,9713.000000000002
Autriche,8577782.0,1.99565,3768.0,106.21,28.76,19.702062840953523,50716.70870628636,0.0
Bahamas,377240.0,4.54727,2670.0,86.62,41.9,68.92164139539815,28171.986003605132,214.0
Barbade,282509.0,1.05162,2937.0,88.24,27.66,53.09565358979714,16326.91347886262,0.0
Bangladesh,157571292.0,3.56373,2450.0,55.84,2.87,1.3961934132011813,951.889453456343,2426970.0
Bermudes,62771.0,-1.85284,2671.0,90.79,37.6,63.72369406254481,85748.06541437824,0.0
Bolivie (Etat plurinational de),10400264.0,4.85995,2256.0,66.01,32.84,35.287565777176425,2947.938526280513,0.0
Botswana,2128507.0,5.64013,2326.0,64.86,19.21,5.167941660516033,7001.034417542967,0.0
Bresil,202408632.0,2.85186,3263.0,94.99,34.589999999999996,44.5435548420682,12216.904464339616,709260.0
Belize,344181.0,7.01879,2751.0,73.27,22.37,46.487168088883465,4673.245036768444,0.0
Iles Salomon,563513.0,6.76841,2391.0,56.36,9.33,3.549163905712912,2004.8999724997589,0.0
Brunei Darussalam,405716.0,4.38787,2985.0,93.41,30.69,64.08423626379043,44597.279681535,0.0
Bulgarie,7266141.0,-1.86977,2829.0,83.53,21.64,20.643695188408813,7646.839865545417,0.0
Myanmar,51448196.0,2.57657,2571.0,82.61,15.47,23.266121906392986,1171.4644774818935,187129.00000000003
Cameroun,21655715.0,8.43855,2671.0,69.96,7.59,3.370934647043517,1493.7465674706507,2607589.0
Canada,35255495.0,3.18077,3494.0,104.95,29.38,36.59004078654973,52418.31506183466,2344440.0
Cabo Verde,520106.0,3.52758,2609.0,73.65,15.78,19.226849911364223,3557.870977133151,17475.0
Republique centrafricaine,4499653.0,1.14932,1879.0,46.06,25.71,1.5556755154230781,337.48497903202946,76810.0
Sri Lanka,20527233.0,1.62825,2539.0,59.71,3.82,5.11515604660404,3610.289363049742,0.0
Tchad,13133589.0,10.48512,2110.0,62.72,7.86,0.3807032487464013,986.0103177290478,392929.99999999994
Chili,17462982.0,2.7636,2979.0,87.36,33.160000000000004,36.878008578374526,15941.397219235467,7289.0
"Chine, continentale",1382793212.0,1.69428,3108.0,98.02,19.91,13.223235290223569,7077.770765395579,0.0
Colombie,47342981.0,3.1031,2804.0,64.38,25.71,28.1562329165542,8065.960376234024,0.0
Congo,4751393.0,8.31378,2208.0,51.66,22.55,12.20694646811998,2964.5729890305815,7202924.999999998
Costa Rica,4706401.0,3.5448,2848.0,75.07,21.529999999999998,25.49718989095914,10569.66631437093,26776.0
Cuba,11412167.0,0.6981,3409.0,90.86,20.7,19.891051366493322,6760.1534397454925,0.0
Chypre,1143896.0,2.81222,2649.0,77.61,30.28,29.72298180953513,27942.3166728809,0.0
