pays,evo_pop_%,ratio_prot_viande_%,qt_kcal/h,qt_prot_gr/h,qt_volaille_Kg/h,PIBh_$,groupe
Armenie,0.56296,17.91,2928.0,90.04,13.824045475579993,3843.591213093404,4
Afghanistan,10.16736,8.33,2090.0,58.25,2.3320536871533597,647.966460473683,1
Albanie,-0.7327600000000001,20.39,3193.0,111.42,14.388597653014171,4413.082886884081,4
Algerie,6.14914,8.16,3296.0,91.96,7.590269035129695,5471.123388787091,4
Angola,11.25078,21.73,2473.0,57.26,14.308605857143187,5258.407376444329,1
Antigua-et-Barbuda,3.3414,34.73,2417.0,83.71,61.33464180569185,12194.549591708159,6
Argentine,3.1924099999999997,42.8,3229.0,102.64,37.682247911814606,12976.636424541097,6
Australie,4.65941,36.66,3276.0,106.28,46.52121321967874,67990.29003047975,2
Autriche,1.99565,28.76,3768.0,106.21,19.702062840953523,50716.708706286365,2
Bahamas,4.54727,41.9,2670.0,86.62,68.92164139539815,28171.98600360513,6
Barbade,1.05162,27.66,2937.0,88.24,53.095653589797145,16326.91347886262,6
Bangladesh,3.5637300000000005,2.87,2450.0,55.84,1.3961934132011813,951.889453456343,1
Bermudes,-1.85284,37.6,2671.0,90.79,63.723694062544816,85748.06541437824,2
Bolivie (Etat plurinational de),4.85995,32.84,2256.0,66.01,35.287565777176425,2947.9385262805126,3
Botswana,5.64013,19.21,2326.0,64.86,5.167941660516033,7001.034417542967,1
Bresil,2.85186,34.59,3263.0,94.99,44.543554842068204,12216.904464339617,6
Belize,7.018789999999999,22.37,2751.0,73.27,46.48716808888346,4673.245036768444,6
Iles Salomon,6.76841,9.33,2391.0,56.36,3.5491639057129123,2004.8999724997586,1
Brunei Darussalam,4.3878699999999995,30.69,2985.0,93.41,64.08423626379043,44597.279681535,6
Bulgarie,-1.8697700000000002,21.64,2829.0,83.53,20.643695188408813,7646.8398655454175,4
Myanmar,2.5765700000000002,15.47,2571.0,82.61,23.266121906392986,1171.4644774818935,3
Cameroun,8.43855,7.59,2671.0,69.96,3.370934647043517,1493.7465674706507,1
Canada,3.18077,29.38,3494.0,104.95,36.59004078654973,52418.315061834655,2
Cabo Verde,3.5275800000000004,15.78,2609.0,73.65,19.226849911364226,3557.8709771331514,3
Republique centrafricaine,1.1493200000000001,25.71,1879.0,46.06,1.555675515423078,337.4849790320294,1
Sri Lanka,1.62825,3.82,2539.0,59.71,5.11515604660404,3610.289363049742,1
Tchad,10.48512,7.86,2110.0,62.72,0.3807032487464013,986.0103177290476,1
Chili,2.7636,33.160000000000004,2979.0,87.36,36.878008578374526,15941.397219235469,6
"Chine, continentale",1.69428,19.91,3108.0,98.02,13.223235290223567,7077.770765395579,4
Colombie,3.1031,25.71,2804.0,64.38,28.1562329165542,8065.960376234023,3
Congo,8.31378,22.55,2208.0,51.66,12.20694646811998,2964.572989030581,1
Costa Rica,3.5448,21.53,2848.0,75.07,25.497189890959138,10569.66631437093,3
Cuba,0.6981,20.7,3409.0,90.86,19.891051366493322,6760.153439745493,4
Chypre,2.81222,30.28,2649.0,77.61,29.722981809535128,27942.316672880897,3
Azerbaidjan,3.90631,12.44,3118.0,93.15,10.548418680162676,7875.756952542878,4
Benin,8.75279,14.249999999999998,2619.0,64.43,20.29096848992513,915.3281554082324,1
Danemark,1.49371,26.69,3367.0,108.88,26.78341634714287,61191.192626042844,2
Dominique,1.34378,23.0,2931.0,76.25,55.24861878453039,6933.413648455083,6
Republique dominicaine,3.8726199999999995,24.88,2614.0,58.2,27.914768721764258,6094.734904210545,3
Belarus,0.06155,31.32,3250.0,93.82,31.016250616368858,7978.872614710763,6
Equateur,4.8669,28.73,2344.0,61.36,21.90077391460754,6074.0908289583385,3
Egypte,6.77683,10.82,3522.0,103.24,13.1837639764183,3213.3891579094234,4
El Salvador,1.39751,12.95,2577.0,71.9,20.157494020343393,3515.947201443917,3
Estonie,-0.79138,16.919999999999998,3253.0,103.9,20.430400435848547,19072.238517566937,4
Fidji,2.29839,18.78,2943.0,73.6,21.59790386659316,4763.0689555777835,3
Finlande,1.3201100000000001,22.63,3368.0,117.72,20.96892625854024,49638.07712981394,2
Georgie,-4.38955,11.14,2905.0,80.53,13.099648781114755,4274.376864839689,4
Gabon,10.79502,30.86,2830.0,86.63,40.720398883820856,9679.758914401109,6
Gambie,9.87945,4.01,2628.0,61.55,2.6891493897782204,735.2358088014363,1
Allemagne,0.45782,27.44,3499.0,101.59,19.307171799706143,46530.911427577616,2
Bosnie-Herzegovine,-3.14568,11.83,3154.0,91.64,14.147021954791109,5042.582213046121,4
Ghana,7.48262,9.99,3016.0,64.57,8.502158428536946,2401.7541216209197,1
Kiribati,5.7310099999999995,15.010000000000002,3040.0,73.33,18.42723545400101,1705.5689096281174,3
Grece,-1.08951,23.07,3400.0,108.8,16.34087958096685,21874.819504166666,4
Grenade,1.17695,29.37,2447.0,69.19,75.53654552493178,7956.076547895942,6
Guatemala,6.6013,13.82,2419.0,63.73,17.504248146377062,3452.8346707689425,1
Guinee,6.8782,7.33,2566.0,55.93,1.9069718457277116,726.0893942403605,1
Guyana,1.54376,17.77,2764.0,79.51,40.89272782196098,3941.1146611860254,6
Haiti,4.32176,12.72,2091.0,47.72,7.573015371495707,810.2656073018843,1
Honduras,5.65002,17.76,2641.0,64.88,19.057992315586493,2136.7717179207543,3
Chine - RAS de Hong-Kong,1.7558200000000002,38.36,3290.0,129.18,57.0743439493012,38403.7777145477,2
Hongrie,-0.86769,26.700000000000006,3037.0,78.85,26.214991174794346,13667.702786549564,4
Croatie,-1.16324,22.73,3059.0,84.35,8.649293586478676,13663.519127523283,4
Islande,2.09192,25.76,3380.0,133.54,27.520495124285606,48023.626914597015,2
Inde,3.86533,2.19,2459.0,60.25,1.8395663403180817,1452.1953732318748,1
Indonesie,3.92049,7.37,2777.0,62.18,7.431588232812875,3620.6639810952265,1
Iran (Republique islamique d'),3.8460099999999997,13.89,3094.0,87.28,25.29851211172401,6036.192087990409,4
Iraq,10.1436,11.19,2545.0,63.63,14.78611268227905,6925.22404568487,1
Irlande,1.18954,27.77,3600.0,110.02,27.766107706440483,51773.111369589074,2
Israel,5.32114,30.14,3610.0,128.14,66.99820549653789,36291.232110480385,2
Italie,-0.10347999999999999,26.340000000000003,3579.0,108.51,19.290071730240665,35370.275258375535,2
Cote d'Ivoire,7.67097,10.84,2799.0,58.51,2.230688519766085,1423.682282225754,1
Kazakhstan,4.92885,25.42,3264.0,96.41,17.666964583605626,13890.631771683453,4
Jamaique,1.22806,24.85,2746.0,76.97,51.195610362131795,4976.84878096438,6
Japon,-0.18588,18.53,2726.0,87.73,19.530379325791976,40454.44745789028,4
Jordanie,17.14017,20.66,3100.0,79.59,28.763420156073646,3992.8671070526757,5
Kirghizistan,4.8221099999999995,14.000000000000002,2817.0,85.16,10.028487943294357,1282.437162024666,3
Kenya,8.40794,9.17,2206.0,61.84,0.4684692426184138,1229.1010694938827,1
Cambodge,4.9896199999999995,6.88,2477.0,65.66,1.8638470388662696,1013.6659524950696,1
Republique de Coree,1.2439,20.53,3334.0,96.2,15.706834877034815,25890.01866989056,4
Koweit,20.02286,27.12,3501.0,108.24,50.02244062266823,48399.807817718436,5
Lettonie,-3.6842699999999997,20.29,3174.0,91.39,21.070333754086665,15032.282013148897,4
Republique democratique populaire lao,3.9749,9.94,2451.0,68.9,4.311302526099934,1838.8060199231425,1
Liban,21.64931,18.34,3066.0,79.71,18.763852556300087,8807.901335142735,5
Lesotho,3.76418,12.61,2529.0,73.52,9.918006424034449,1192.9987655327388,3
Liberia,8.56523,15.14,2204.0,37.66,8.865473669426551,715.5370458981903,1
Lituanie,-4.04856,21.41,3417.0,124.49,27.357645160666113,15693.786728259916,4
Chine - RAS de Macao,7.23915,37.79,2915.0,94.84,36.468400131286245,89524.84436071465,2
Madagascar,8.55492,11.4,2052.0,46.67,3.1357319882901318,461.72307217423383,1
Malawi,9.29678,5.96,2367.0,64.55,1.3271282446852888,332.92102486510817,1
Malaisie,5.67167,22.73,2916.0,81.58,49.68572098357261,10882.289104210176,6
Maldives,9.02195,9.79,2732.0,122.43,25.163753123450856,8291.485294941967,4
Mali,9.30498,11.69,2890.0,85.2,2.852319402969495,803.8935756794051,1
Malte,1.7149299999999998,27.12,3378.0,110.36,30.71499789720399,23820.363405270557,4
Mauritanie,9.326030000000001,13.18,2876.0,84.96,5.5750259111999725,1450.5779490437146,1
Maurice,0.5877600000000001,21.65,3065.0,88.36,39.03480470648217,9637.002650009581,6
Mexique,4.44688,22.83,3072.0,87.63,30.07280254175817,10400.563158043558,4
Mongolie,5.76768,37.2,2510.0,80.79,2.7883240325299825,4385.379354688455,3
Maroc,4.36639,13.16,3403.0,97.93,20.280995858390046,3111.7628865410197,4
Mozambique,9.13641,6.13,2283.0,45.7,1.3996927939124106,605.9856082070287,1
Republique de Moldova,-0.30645,18.54,2714.0,71.41,15.226067813959062,2243.9901779590873,3
Namibie,6.59635,16.17,2171.0,57.69,12.087096161483604,5490.041313910612,1
Nepal,3.56055,6.02,2673.0,69.15,1.5365204101723369,688.6172787966977,1
Pays-Bas,0.93978,31.44,3228.0,111.72,25.653665187245927,51574.48941846197,2
Macedoine du Nord,0.24145999999999998,16.39,2949.0,78.51,19.270245440298613,5211.499200499248,4
Vanuatu,7.12965,20.64,2836.0,69.68,11.851055929083284,3167.3430559177086,3
Nouvelle-Zelande,3.3744400000000003,35.36,3137.0,92.54,34.97488780919295,42949.32684170219,2
